Latitude (decimal degrees):	6.524
Longitude (decimal degrees):	3.379
Elevation (m):	16
Radiation database:	PVGIS-SARAH3


Slope: 15 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0006,0.0,0.0,0.0,26.74,3.03,0.0
20190101:0106,0.0,0.0,0.0,26.56,2.41,0.0
20190101:0206,0.0,0.0,0.0,26.2,2.0,0.0
20190101:0306,0.0,0.0,0.0,25.93,2.0,0.0
20190101:0406,0.0,0.0,0.0,25.8,2.07,0.0
20190101:0506,0.0,0.0,0.0,25.7,2.21,0.0
20190101:0606,0.0,0.0,0.0,25.65,2.28,0.0
20190101:0706,159.25,221.95,14.87,25.72,2.34,0.0
20190101:0806,363.63,474.5,28.03,27.18,2.34,0.0
20190101:0906,516.97,683.4,40.4,28.79,2.21,0.0
20190101:1006,626.84,858.35,51.17,30.47,1.59,0.0
20190101:1106,670.73,972.12,58.64,31.71,0.14,0.0
20190101:1206,707.58,1000.62,60.18,32.64,1.52,0.0
20190101:1306,674.69,930.16,54.99,33.2,2.62,0.0
20190101:1406,583.29,784.31,45.38,33.36,3.52,0.0
20190101:1506,438.53,578.54,33.57,32.83,4.48,0.0
20190101:1606,243.72,328.85,20.69,31.44,5.03,0.0
20190101:1706,45.82,80.9,7.28,29.92,4.76,0.0
20190101:1806,0.0,0.0,0.0,28.76,4.28,0.0
20190101:1906,0.0,0.0,0.0,28.18,4.0,0.0
20190101:2006,0.0,0.0,0.0,27.68,4.0,0.0
20190101:2106,0.0,0.0,0.0,27.29,3.72,0.0
20190101:2206,0.0,0.0,0.0,26.95,3.38,0.0
20190101:2306,0.0,0.0,0.0,26.75,3.03,0.0
20190102:0006,0.0,0.0,0.0,26.58,2.55,0.0
20190102:0106,0.0,0.0,0.0,26.24,2.07,0.0
20190102:0206,0.0,0.0,0.0,26.0,1.86,0.0
20190102:0306,0.0,0.0,0.0,25.77,1.93,0.0
20190102:0406,0.0,0.0,0.0,25.81,1.72,0.0
20190102:0506,0.0,0.0,0.0,25.93,1.72,0.0
20190102:0606,0.0,0.0,0.0,26.02,1.86,0.0
20190102:0706,152.98,213.99,14.79,25.83,2.21,0.0
20190102:0806,363.18,473.77,27.96,26.59,2.0,0.0
20190102:0906,524.6,694.23,40.35,27.57,1.66,0.0
20190102:1006,620.29,850.41,51.17,28.93,1.03,0.0
20190102:1106,671.2,951.23,58.69,30.25,0.55,0.0
20190102:1206,706.29,992.97,60.28,31.44,1.45,0.0
20190102:1306,666.22,912.63,55.12,32.12,2.55,0.0
20190102:1406,577.57,773.72,45.51,32.24,3.24,0.0
20190102:1506,411.94,544.09,33.7,31.86,3.52,0.0
20190102:1606,228.11,309.33,20.81,31.07,3.59,0.0
20190102:1706,48.94,85.62,7.39,29.9,3.45,0.0
20190102:1806,0.0,0.0,0.0,28.72,3.24,0.0
20190102:1906,0.0,0.0,0.0,28.05,2.97,0.0
20190102:2006,0.0,0.0,0.0,27.62,3.03,0.0
20190102:2106,0.0,0.0,0.0,27.32,3.1,0.0
20190102:2206,0.0,0.0,0.0,27.03,3.17,0.0
20190102:2306,0.0,0.0,0.0,26.84,3.31,0.0
20190103:0006,0.0,0.0,0.0,26.8,3.17,0.0
20190103:0106,0.0,0.0,0.0,26.67,2.83,0.0
20190103:0206,0.0,0.0,0.0,26.32,1.86,0.0
20190103:0306,0.0,0.0,0.0,25.49,1.45,0.0
20190103:0406,0.0,0.0,0.0,25.12,1.52,0.0
20190103:0506,0.0,0.0,0.0,24.99,1.59,0.0
20190103:0606,0.0,0.0,0.0,25.22,1.86,0.0
20190103:0706,152.23,213.01,14.71,25.46,1.93,0.0
20190103:0806,366.08,477.91,27.9,26.82,2.07,0.0
20190103:0906,524.68,696.89,40.31,27.91,1.52,0.0
20190103:1006,621.73,855.7,51.16,29.35,0.97,0.0
20190103:1106,671.39,952.39,58.74,30.76,0.62,0.0
20190103:1206,691.43,970.96,60.39,31.79,1.45,0.0
20190103:1306,662.01,908.67,55.26,32.42,2.48,0.0
20190103:1406,567.2,761.47,45.65,32.54,3.1,0.0
20190103:1506,436.1,576.01,33.83,31.9,3.52,0.0
20190103:1606,244.88,330.49,20.94,31.06,4.07,0.0
20190103:1706,46.26,81.22,7.51,29.76,4.0,0.0
20190103:1806,0.0,0.0,0.0,28.66,3.52,0.0
20190103:1906,0.0,0.0,0.0,28.12,3.38,0.0
20190103:2006,0.0,0.0,0.0,27.68,3.03,0.0
20190103:2106,0.0,0.0,0.0,27.37,2.9,0.0
20190103:2206,0.0,0.0,0.0,27.12,3.03,0.0
20190103:2306,0.0,0.0,0.0,26.97,3.1,0.0
20190104:0006,0.0,0.0,0.0,26.75,3.24,0.0
20190104:0106,0.0,0.0,0.0,26.61,3.1,0.0
20190104:0206,0.0,0.0,0.0,26.53,2.9,0.0
20190104:0306,0.0,0.0,0.0,26.31,2.34,0.0
20190104:0406,0.0,0.0,0.0,25.92,1.93,0.0
20190104:0506,0.0,0.0,0.0,25.73,1.72,0.0
20190104:0606,0.0,0.0,0.0,25.7,1.86,0.0
20190104:0706,153.71,215.06,14.64,25.61,2.28,0.0
20190104:0806,358.19,466.96,27.84,26.84,2.28,0.0
20190104:0906,522.91,691.6,40.28,28.37,2.0,0.0
20190104:1006,632.1,870.18,51.16,30.09,1.24,0.0
20190104:1106,664.43,957.92,58.79,31.57,0.21,0.0
20190104:1206,686.47,982.5,60.5,32.51,0.83,0.0
20190104:1306,663.76,925.15,55.4,33.18,1.86,0.0
20190104:1406,562.65,762.1,45.79,33.56,2.76,0.0
20190104:1506,434.33,577.72,33.96,33.48,3.66,0.0
20190104:1606,239.45,324.64,21.06,32.31,4.69,0.0
20190104:1706,48.0,83.9,7.63,30.43,4.9,0.0
20190104:1806,0.0,0.0,0.0,28.86,4.41,0.0
20190104:1906,0.0,0.0,0.0,28.2,3.72,0.0
20190104:2006,0.0,0.0,0.0,27.7,3.72,0.0
20190104:2106,0.0,0.0,0.0,27.49,4.14,0.0
20190104:2206,0.0,0.0,0.0,27.3,4.21,0.0
20190104:2306,0.0,0.0,0.0,27.19,3.86,0.0
20190105:0006,0.0,0.0,0.0,26.95,3.45,0.0
20190105:0106,0.0,0.0,0.0,26.72,3.1,0.0
20190105:0206,0.0,0.0,0.0,26.51,2.55,0.0
20190105:0306,0.0,0.0,0.0,26.46,2.69,0.0
20190105:0406,0.0,0.0,0.0,26.26,2.62,0.0
20190105:0506,0.0,0.0,0.0,26.12,2.41,0.0
20190105:0606,0.0,0.0,0.0,25.94,2.07,0.0
20190105:0706,152.6,214.04,14.57,25.91,2.34,0.0
20190105:0806,367.68,480.58,27.79,27.23,2.21,0.0
20190105:0906,528.41,702.43,40.25,28.85,1.86,0.0
20190105:1006,634.81,877.97,51.17,30.52,1.17,0.0
20190105:1106,678.84,977.56,58.86,31.83,0.41,0.0
20190105:1206,701.15,1003.2,60.62,32.79,1.03,0.0
20190105:1306,674.18,940.88,55.54,33.47,2.0,0.0
20190105:1406,582.87,791.31,45.94,33.86,2.9,0.0
20190105:1506,446.12,593.66,34.1,33.67,3.79,0.0
20190105:1606,256.98,347.04,21.19,32.22,4.83,0.0
20190105:1706,54.5,93.48,7.74,30.25,4.97,0.0
20190105:1806,0.0,0.0,0.0,28.7,4.34,0.0
20190105:1906,0.0,0.0,0.0,28.18,3.72,0.0
20190105:2006,0.0,0.0,0.0,27.62,3.86,0.0
20190105:2106,0.0,0.0,0.0,27.2,3.79,0.0
20190105:2206,0.0,0.0,0.0,26.83,3.52,0.0
20190105:2306,0.0,0.0,0.0,26.63,3.31,0.0
20190106:0006,0.0,0.0,0.0,26.41,3.1,0.0
20190106:0106,0.0,0.0,0.0,26.14,2.83,0.0
20190106:0206,0.0,0.0,0.0,25.89,2.62,0.0
20190106:0306,0.0,0.0,0.0,25.76,2.34,0.0
20190106:0406,0.0,0.0,0.0,25.86,2.14,0.0
20190106:0506,0.0,0.0,0.0,25.92,1.86,0.0
20190106:0606,0.0,0.0,0.0,26.03,1.52,0.0
20190106:0706,152.57,214.07,14.5,25.85,2.34,0.0
20190106:0806,365.04,474.9,27.74,26.47,2.34,0.0
20190106:0906,529.91,698.27,40.23,27.5,2.0,0.0
20190106:1006,634.07,868.89,51.19,29.19,1.24,0.0
20190106:1106,677.4,968.53,58.93,30.73,0.41,0.0
20190106:1206,710.8,1006.03,60.75,31.81,1.31,0.0
20190106:1306,678.27,932.9,55.7,32.47,2.55,0.0
20190106:1406,592.54,795.25,46.08,32.66,3.45,0.0
20190106:1506,450.43,593.92,34.24,32.2,4.07,0.0
20190106:1606,256.51,345.04,21.32,31.22,4.48,0.0
20190106:1706,52.61,90.21,7.86,29.96,4.21,0.0
20190106:1806,0.0,0.0,0.0,28.8,3.72,0.0
20190106:1906,0.0,0.0,0.0,28.01,3.31,0.0
20190106:2006,0.0,0.0,0.0,27.52,3.45,0.0
20190106:2106,0.0,0.0,0.0,27.15,3.72,0.0
20190106:2206,0.0,0.0,0.0,26.83,3.86,0.0
20190106:2306,0.0,0.0,0.0,26.67,3.86,0.0
20190107:0006,0.0,0.0,0.0,26.52,3.66,0.0
20190107:0106,0.0,0.0,0.0,26.38,3.24,0.0
20190107:0206,0.0,0.0,0.0,26.28,2.48,0.0
20190107:0306,0.0,0.0,0.0,26.09,1.72,0.0
20190107:0406,0.0,0.0,0.0,25.94,1.59,0.0
20190107:0506,0.0,0.0,0.0,25.71,1.72,0.0
20190107:0606,0.0,0.0,0.0,25.69,1.59,0.0
20190107:0706,161.23,226.08,14.44,26.05,2.28,0.0
20190107:0806,360.32,469.78,27.69,26.8,2.28,0.0
20190107:0906,520.21,685.59,40.21,27.91,2.07,0.0
20190107:1006,647.98,885.89,51.21,29.11,1.45,0.0
20190107:1106,392.97,534.05,59.0,30.52,0.62,0.0
20190107:1206,316.22,429.25,60.88,31.42,0.97,0.0
20190107:1306,565.92,768.98,55.85,32.01,2.28,0.0
20190107:1406,264.07,354.98,46.24,32.2,3.45,0.0
20190107:1506,158.32,218.71,34.38,31.34,4.34,0.0
20190107:1606,132.42,185.28,21.45,29.94,4.69,0.0
20190107:1706,26.96,50.93,7.98,28.85,4.83,0.0
20190107:1806,0.0,0.0,0.0,27.92,4.48,0.0
20190107:1906,0.0,0.0,0.0,27.7,3.45,0.0
20190107:2006,0.0,0.0,0.0,27.3,3.17,0.0
20190107:2106,0.0,0.0,0.0,27.04,3.38,0.0
20190107:2206,0.0,0.0,0.0,26.77,3.45,0.0
20190107:2306,0.0,0.0,0.0,26.57,3.79,0.0
20190108:0006,0.0,0.0,0.0,26.48,3.52,0.0
20190108:0106,0.0,0.0,0.0,26.37,2.9,0.0
20190108:0206,0.0,0.0,0.0,26.21,2.28,0.0
20190108:0306,0.0,0.0,0.0,25.97,2.0,0.0
